"id","p_value","corr","hgnc_symbol","corr_spearman","p_value_spearman"
"ENSG00000152475",2.99814033255182e-06,0.907460747547117,"ZNF837",0.882142857142857,0
"ENSG00000236905",4.83955632775881e-06,0.900106717438756,"",0.860714285714286,0
"ENSG00000255581",1.72307183829327e-05,0.877496575166758,"",0.878571428571428,0
"ENSG00000152192",1.94283817513886e-05,0.875097721454817,"POU4F1",0.867857142857143,0
"ENSG00000213641",3.59017387585376e-05,0.862027283162395,"RPL7AP4",0.892857142857143,0
"ENSG00000146576",0.000247431016694991,0.810532608944268,"INTS15",0.860714285714286,0
"ENSG00000166407",0.000405719419332058,0.794225330647347,"LMO1",0.903571428571428,0
"ENSG00000175279",0.000464587929045422,0.789493674943039,"CENPS",0.903571428571428,0
"ENSG00000116906",0.00154956775051211,0.74169609192492,"GNPAT",0.878571428571428,0
"ENSG00000264808",0.00330749994730305,0.705370124743758,"",0.875,0
"ENSG00000153147",0.00986808448928097,0.642009003935309,"SMARCA5",0.860714285714286,0
"ENSG00000236364",0.00152662636421644,0.742357681222216,"",0.857142857142857,8.56584851227334e-06
"ENSG00000185088",0.0304391716696353,-0.558580167277627,"RPS27L",-0.853571428571429,2.39049597277748e-05
"ENSG00000116396",0.000352862326650647,0.798978255840763,"KCNC4",0.870420365440442,2.43848725563427e-05
"ENSG00000225171",0.00464890195071949,0.687167885964857,"DUTP6",0.863271122192471,3.39556842795072e-05
"ENSG00000268555",9.75962089500867e-05,0.83753603755583,"",0.85,4.10250221893821e-05
"ENSG00000062716",0.00255679492497894,-0.718322656733291,"VMP1",-0.85,4.10250221893826e-05
"ENSG00000237492",0.000736643250882575,0.772475290573836,"OR2L9P",0.846428571428571,6.00470504936237e-05
"ENSG00000236564",0.00754267245250748,0.658971017164592,"YWHAQP5",0.847038658973673,6.75742588314116e-05
"ENSG00000183137",5.53055742210546e-06,0.897950379314262,"CEP57L1",0.846416161310292,6.92724315734042e-05
"ENSG00000166582",0.000176557081210166,0.820851287173747,"CENPV",0.842857142857143,8.10975627401273e-05
"ENSG00000279949",3.60620799660489e-05,0.861927308525577,"",0.839285714285714,0.000104308730457098
"ENSG00000184677",0.000805097289643926,0.769022397906457,"ZBTB40",0.839285714285714,0.000104308730457098
"ENSG00000255468",0.00152591682924318,0.742378270315049,"B4GAT1-DT",0.839285714285714,0.000104308730457098
"ENSG00000136895",0.00357728255452048,0.701289332686472,"GARNL3",0.839285714285714,0.000104308730457098
"ENSG00000136319",0.0194536937665671,0.594375102469271,"TTC5",0.839285714285714,0.000104308730457098
"ENSG00000171219",0.0311380162944741,0.556659749965502,"CDC42BPG",0.839285714285714,0.000104308730457098
"ENSG00000280399",0.000502502877855555,0.786699354836147,"",0.835714285714286,0.000129818528857412
"ENSG00000088035",0.00434657858125196,0.690864664619663,"ALG6",0.835714285714286,0.000129818528857412
"ENSG00000117697",0.0134751298366643,0.621049850060628,"NSL1",0.835714285714286,0.000129818528857412
"ENSG00000267529",0.00275602518910186,0.714616342945816,"",0.827962307556215,0.00013818372412533
"ENSG00000122188",0.00178815602889185,0.735245201334955,"LAX1",0.832142857142857,0.00015777088726534
"ENSG00000109667",0.00469095441982403,0.686668899477263,"SLC2A9",0.820793802728889,0.000176899572001532
"ENSG00000126259",0.00419418671034771,0.692806034205996,"KIRREL2",0.820703613839191,0.000177438013968301
