"id","p_value","corr"
"ENSG00000000003",0.206028971946554,-0.34633339964954
"ENSG00000000005",0.969706245104775,0.0107368476203145
"ENSG00000000419",0.717291399708576,-0.102101823770159
"ENSG00000000457",0.00364939130677088,0.700240265254301
"ENSG00000000460",0.000945760052902388,0.762615606945246
"ENSG00000000938",0.311480246620092,-0.280361099623675
"ENSG00000000971",0.359566863128756,-0.254722118678092
"ENSG00000001036",0.158455670523155,-0.383301151052876
"ENSG00000001084",0.0720377120420523,0.47723388749211
"ENSG00000001167",0.00918519937251369,0.646632740879486
"ENSG00000001460",0.113793373296114,-0.425533003063191
"ENSG00000001461",0.506710470543464,-0.186071368526574
"ENSG00000001497",0.192169796047552,0.356472131239641
"ENSG00000001561",0.0176367715354752,0.601720199802297
"ENSG00000001617",0.210185606764788,-0.343378084334496
"ENSG00000001626",0.360420521732036,0.254284928904969
"ENSG00000001629",0.68302619802314,-0.115063014322176
"ENSG00000001630",0.0653475989485649,-0.487403311145906
"ENSG00000001631",0.687511830931904,0.11335450471571
"ENSG00000002016",0.325018575064619,0.272927824577149
"ENSG00000002079",0.442738983822105,-0.214470208850801
"ENSG00000002330",0.871575292317472,-0.0456815158362688
"ENSG00000002549",0.707613770360458,0.105742148820228
"ENSG00000002586",0.400022028205382,0.234590655858279
"ENSG00000002587",0.295720734195002,0.289253984704779
"ENSG00000002726",0.975746383857973,0.00859542238234209
"ENSG00000002745",0.286921655376667,-0.294340663690002
"ENSG00000002746",0.209663449633296,-0.343747275696615
"ENSG00000002822",0.361779481591372,0.253590132522561
"ENSG00000002834",0.332287360200632,-0.2690099612456
"ENSG00000002919",0.355199198186161,-0.256967989306743
"ENSG00000002933",0.453316175768003,-0.209642884810761
"ENSG00000003056",0.61339280726854,-0.142115147056035
"ENSG00000003096",0.69858006139443,-0.109154372089264
"ENSG00000003137",0.00178387292410274,0.735354718817066
"ENSG00000003147",0.483889632527979,0.195992831979284
"ENSG00000003249",0.203853233950257,-0.347895503266842
"ENSG00000003393",0.98204232323156,-0.00636376735259836
"ENSG00000003400",0.352042412569399,0.258600769090095
"ENSG00000003402",0.272950446550569,-0.302611458360564
"ENSG00000003436",0.350935036723063,-0.259175463484025
"ENSG00000003509",0.289441715962478,-0.292874522578529
"ENSG00000003756",0.984823081055476,-0.0053782197743465
"ENSG00000003987",0.221205062996625,0.335718714401918
"ENSG00000003989",0.13515245501757,-0.404152188965108
"ENSG00000004059",0.00995706826216633,0.641425078244665
"ENSG00000004139",0.527791830861927,-0.177088286162945
"ENSG00000004142",0.0479171823175971,0.518028728315997
"ENSG00000004399",0.938467356612271,-0.0218231072082727
"ENSG00000004455",0.0959832112774788,0.445600459785644
"ENSG00000004468",0.741479682455758,0.0930672612535527
"ENSG00000004478",0.194473554087384,0.354754950972894
"ENSG00000004487",0.000202579022039229,0.816723146270114
"ENSG00000004534",0.512243459559021,-0.18369743270272
"ENSG00000004660",0.391313624216371,0.238828115233241
"ENSG00000004700",0.0660621620042895,-0.486282231062939
"ENSG00000004766",0.495846800558936,0.190767648343521
"ENSG00000004776",0.319746221453465,-0.275801050612054
"ENSG00000004777",0.0754994915357641,0.472236839725897
"ENSG00000004779",0.496805084764358,0.190351471303256
"ENSG00000004799",0.23108008433824,-0.329056533161037
"ENSG00000004809",NA,NA
"ENSG00000004838",0.343880110334649,0.262860758205753
"ENSG00000004846",0.143216473527221,0.396681059103003
"ENSG00000004848",0.332228045488598,0.269041733325104
"ENSG00000004864",0.479857233950059,-0.197768761668307
"ENSG00000004866",0.273861248170678,-0.302064659630415
"ENSG00000004897",0.158433951815488,0.383319594468607
"ENSG00000004939",0.280326238742978,0.29821437988517
"ENSG00000004948",0.959812036604196,0.0142458861897527
"ENSG00000004961",0.350030348814861,-0.259645719210656
"ENSG00000004975",0.0832234267151068,0.461651544439157
"ENSG00000005001",NA,NA
"ENSG00000005007",0.00771057669825182,0.65761811867831
"ENSG00000005020",0.0912473613249017,-0.451371169035287
"ENSG00000005022",0.991808577551309,0.00290267179321793
"ENSG00000005059",0.11973038347674,0.419331444607303
"ENSG00000005073",0.5931012131461,0.150212478374784
"ENSG00000005075",0.107211157636832,0.432675955937466
"ENSG00000005100",0.784474089550724,0.0772085514570742
"ENSG00000005102",0.285434420311107,-0.295209505365546
"ENSG00000005108",0.517215255758323,-0.181574288810679
"ENSG00000005156",0.000791387246980847,0.769694327419012
"ENSG00000005175",0.190291893221492,0.357881748841938
"ENSG00000005187",0.941739281677442,0.0206608197392547
"ENSG00000005189",0.0985114296523253,-0.442601438076967
"ENSG00000005194",0.153264775391292,0.387758013176911
"ENSG00000005206",0.0688378395242724,0.4820088431312
"ENSG00000005238",0.520580328728805,-0.180142548452644
"ENSG00000005243",0.273598044102223,-0.30222256151377
"ENSG00000005249",0.750943638695723,0.0895556519330703
"ENSG00000005302",0.437840856868554,-0.216725250465733
"ENSG00000005339",0.472243608031011,-0.201141570152049
"ENSG00000005379",0.140138904444869,0.399497953111521
"ENSG00000005381",0.284731667989741,-0.295620988315579
"ENSG00000005421",0.930016415411142,-0.0248266833929665
